text,stop_flag
to,True
bundelkhand,False
agency,False
the,True
last,False
raja,False
of,True
nagod,False
hh,False
shrimant,False
mahendra,False
singh,False
signed,False
the,True
accession,False
of,True
his,True
state,False
to,True
the,True
dominion,False
of,True
india,False
on,True
january,False
rulers,False
the,True
gurjarapratihara,False
dynasty,False
dynasty,False
ruling,False
family,False
were,True
member,False
were,True
entitled,False
to,True
a,True
hereditary,False
gun,False
salute,False
state,False
of,True
gun,False
rajas,False
fakir,False
shah,False
chain,False
singh,False
ahlad,False
singh,False
lal,False
sheoraj,False
shivraj,False
singh,False
b,False
d,True
balbhadra,False
singh,False
february,False
raghubindh,False
raghvendra,False
singh,False
b,False
d,True
feb,False
november,False
jadubindh,False
jadvendra,False
singh,False
b,False
d,True
november,False
february,False
narharendra,False
singh,False
b,False
d,True
feb,False
august,False
mahendra,False
singh,False
see,False
also,False
panna,False
state,False
political,False
integration,False
of,True
india,False
references,False
category,False
princely,False
state,False
of,True
india,False
category,False
satna,False
district,False
category,False
rajput,False
the,True
family,False
of,True
baban,False
ruled,False
a,True
kurdish,False
principality,False
which,True
encompassed,False
area,False
of,True
presentday,False
iraqi,False
kurdistan,False
and,True
western,False
iran,False
from,True
the,True
early,False
century,False
until,True
the,True
baban,False
principality,False
played,False
an,True
active,False
role,False
in,True
ottomanpersian,False
conflict,False
the,True
founder,False
of,True
the,True
princely,False
baban,False
family,False
is,True
thought,False
to,True
be,True
ahmad,False
faqih,False
or,True
faqi,False
ahmad,False
from,True
the,True
pshdar,False
district,False
the,True
babans,False
claimed,False
descent,False
from,True
a,True
frank,False
woman,False
keghan,False
who,True
wa,False
taken,False
prisoner,False
in,True
a,True
battle,False
by,True
the,True
ottoman,False
according,False
to,True
the,True
sharafnama,False
the,True
clan,False
s,True
first,False
chief,False
wa,False
pir,False
badak,False
babe,False
who,True
is,True
believed,False
to,True
have,True
lived,False
around,False
baban,False
prince,False
retained,False
some,True
autonomy,False
in,True
return,False
for,True
providing,False
security,False
for,True
the,True
ottoman,False
empire,False
along,False
the,True
iranian,False
border,False
sulaiman,False
baba,False
wa,False
the,True
first,False
baban,False
prince,False
to,True
gain,False
control,False
of,True
the,True
province,False
of,True
shahrizor,False
eyalet,False
and,True
it,True
capital,False
kirkuk,False
he,True
invaded,False
the,True
safavid,False
iran,False
defeating,False
force,False
from,True
the,True
principality,False
of,True
ardalan,False
in,True
ottoman,False
sultan,False
mustafa,False
ii,False
assigned,False
him,True
the,True
district,False
of,True
baban,False
which,True
included,False
the,True
town,False
of,True
kirkuk,False
the,True
city,False
of,True
sulaimaniyah,False
wa,False
also,False
known,False
a,True
the,True
capital,False
of,True
baban,False
founded,False
by,True
baban,False
prince,False
mahmud,False
pasha,False
in,True
baban,False
ruler,False
encouraged,False
cultural,False
and,True
literary,False
activity,False
in,True
their,True
domain,False
during,True
the,True
first,False
half,False
of,True
the,True
century,False
a,True
school,False
of,True
poetry,False
wa,False
established,False
under,True
baban,False
patronage,False
of,True
which,True
classical,False
kurdish,False
poet,False
nal,False
wa,False
the,True
central,False
figure,False
baban,False
prince,False
aided,False
ottoman,False
force,False
in,True
iranian,False
war,False
from,True
from,True
to,True
baban,False
history,False
wa,False
dominated,False
by,True
rivalry,False
with,True
other,True
kurdish,False
principality,False
such,True
a,True
soran,False
emirate,False
and,True
bohtan,False
and,True
it,True
opposition,False
to,True
centralization,False
by,True
the,True
ottoman,False
empire,False
and,True
the,True
qajars,False
the,True
principality,False
wa,False
destroyed,False
during,True
the,True
mid19th,False
century,False
ottoman,False
modernization,False
period,False
the,True
baban,False
revolt,False
lasted,False
for,True
three,False
year,False
but,True
wa,False
defeated,False
by,True
a,True
coalition,False
of,True
ottoman,False
force,False
and,True
kurdish,False
tribe,False
ahmed,False
pasha,False
baban,False
the,True
last,False
baban,False
ruler,False
wa,False
defeated,False
near,False
koi,False
sanjaq,False
in,True
and,True
the,True
region,False
of,True
shahrazur,False
wa,False
annexed,False
to,True
the,True
ottoman,False
empire,False
the,True
last,False
baban,False
prince,False
left,False
sulaimaniya,False
in,True
after,True
fighting,False
the,True
turk,False
for,True
the,True
independence,False
of,True
southern,False
kurdistan,False
timeline,False
khana,False
mohammad,False
pasha,False
take,False
the,True
city,False
of,True
senna,False
iran,False
capital,False
of,True
the,True
ardalan,False
principality,False
in,True
ad,False
and,True
killed,False
the,True
persian,False
governor,False
hasan,False
ali,False
khan,False
suliman,False
baba,False
traveled,False
to,True
constantinople,False
in,True
gaining,False
ottoman,False
recognition,False
of,True
the,True
family,False
s,True
hereditary,False
right,False
baban,False
prince,False
helped,False
ottoman,False
force,False
in,True
the,True
iranian,False
war,False
of,True
abdulrahman,False
pasha,False
becomes,False
prince,False
of,True
kurdish,False
prince,False
in,True
abdurrahman,False
pasha,False
march,False
on,True
ottoman,False
pasha,False
of,True
baghdad,False
suleyman,False
in,True
june,False
with,True
men,False
princes,False
faqi,False
ahmad,False
sulaiman,False
baba,False
khana,False
mohammad,False
pasha,False
nawaub,False
khalid,False
pasha,False
nawaub,False
salim,False
pasha,False
nawaub,False
sulaiman,False
pasha,False
muhammad,False
pasha,False
abdolla,False
pasha,False
ahmad,False
pasha,False
baban,False
mahmoud,False
pasha,False
ibrahim,False
pasha,False
baban,False
abdurrahman,False
pasha,False
mahmoud,False
pasha,False
sulaiman,False
pasha,False
baban,False
principality,False
ahmad,False
pasha,False
baban,False
abdollah,False
pasha,False
notable,False
descendant,False
babanzade,False
mustafa,False
zihni,False
pasha,False
babanzade,False
ahmed,False
naim,False
bey,False
rector,False
of,True
istanbul,False
university,False
and,True
islamist,False
philosopher,False
who,True
wa,False
appointed,False
to,True
the,True
senate,False
of,True
the,True
ottoman,False
empire,False
by,True
sultan,False
mehmed,False
vi,False
babanzade,False
ismail,False
hakki,False
bey,False
ottoman,False
minister,False
of,True
education,False
minister,False
of,True
public,False
instruction,False
member,False
of,True
parliament,False
and,True
foreignaffairs,False
expert,False
babanzade,False
hseyin,False
kr,False
bey,False
dean,False
of,True
the,True
faculty,False
of,True
economics,False
at,True
istanbul,False
university,False
and,True
editorinchief,False
of,True
tercman,False
babanzade,False
cihad,False
bey,False
minister,False
of,True
press,False
radio,False
and,True
tourism,False
minister,False
of,True
culture,False
of,True
the,True
republic,False
of,True
turkey,False
member,False
of,True
the,True
grand,False
national,False
assembly,False
of,True
turkey,False
for,True
istanbul,False
and,True
izmir,False
editorinchief,False
of,True
the,True
newspaper,False
ulus,False
and,True
owner,False
of,True
the,True
newspaper,False
tasvir,False
babanzade,False
hamdi,False
bey,False
member,False
of,True
the,True
committee,False
of,True
union,False
and,True
progress,False
babanzade,False
hikmet,False
bey,False
founding,False
member,False
of,True
krdistan,False
teli,False
cemiyeti,False
and,True
the,True
committee,False
of,True
union,False
and,True
progress,False
babanzade,False
selim,False
bey,False
editorinchief,False
of,True
the,True
son,False
telgraf,False
babanzade,False
ismail,False
pasha,False
babanzade,False
fuad,False
bey,False
babanzade,False
jamil,False
sidqi,False
alzahawi,False
iraqi,False
poet,False
and,True
philosopher,False
babanzade,False
mohammed,False
najmuldeen,False
one,False
of,True
the,True
founding,False
member,False
of,True
the,True
first,False
telecommunication,False
company,False
in,True
iraq,False
asiacell,False
tc,False
and,True
the,True
chief,False
technology,False
officer,False
in,True
it,True
ahmad,False
mukhtar,False
baban,False
the,True
last,False
prime,False
minister,False
of,True
iraq,False
under,True
the,True
monarchy,False
in,True
baban,False
donya,False
doctor,False
in,True
bradford,False
united,False
kingdom,False
baban,False
serwan,False
m,True
j,False
b1958,False
a,True
professor,False
author,False
and,True
a,True
technocrat,False
serwan,False
hold,False
phd,False
and,True
dsc,False
qualification,False
from,True
the,True
university,False
of,True
east,False
anglia,False
uk,False
he,True
is,True
a,True
fellow,False
of,True
the,True
royal,False
geographical,False
society,False
frg,False
fellow,False
of,True
the,True
geological,False
society,False
fgs,False
fellow,False
of,True
the,True
remote,False
sensing,False
and,True
photogrammetry,False
society,False
frspsoc,False
and,True
a,True
fellow,False
of,True
the,True
international,False
congress,False
of,True
disaster,False
management,False
ficdm,False
professor,False
baban,False
is,True
currently,False
the,True
chief,False
scientific,False
advisor,False
the,True
presidency,False
of,True
the,True
council,False
of,True
minister,False
kurdistan,False
regional,False
government,False
iraq,False
his,True
immediate,False
previous,False
position,False
wa,False
professor,False
and,True
vice,False
chancellor,False
cihan,False
university,False
kurdistan,False
region,False
iraq,False
prior,False
to,True
that,True
he,True
wa,False
the,True
minister,False
of,True
agriculture,False
and,True
water,False
resource,False
kurdistan,False
region,False
iraq,False
and,True
the,True
vice,False
chancellor,False
university,False
of,True
kurdistan,False
hewler,False
ukh,False
erbil,False
iraq,False
prior,False
to,True
he,True
held,False
senior,False
academic,False
and,True
management,False
position,False
in,True
university,False
in,True
the,True
uk,False
caribbean,False
region,False
and,True
australia,False
see,False
also,False
list,False
of,True
kurdish,False
dynasty,False
and,True
country,False
list,False
of,True
sunni,False
muslim,False
dynasty,False
kingdom,False
of,True
kurdistan,False
kirkuk,False
governorate,False
diyala,False
governorate,False
sulaymaniyah,False
governorate,False
pshdar,False
district,False
references,False
source,False
narrative,False
of,True
a,True
residence,False
in,True
koordistan,False
claudius,False
james,False
rich,False
james,False
duncan,False
paternoster,False
row,False
the,True
sharafnama,False
sharaf,False
khn,False
bidls,False
the,True
emirate,False
of,True
baban,False
between,True
the,True
grinding,False
stone,False
of,True
the,True
persian,False
and,True
turk,False
nawshirwan,False
mustafa,False
zargata,False
the,True
caravan,False
of,True
death,False
karl,False
friedrich,False
may,False
seabury,False
press,False
first,False
encyclopaedia,False
of,True
islam,False
m,True
th,False
houtsma,False
brill,False
encyclopedia,False
of,True
the,True
ottoman,False
empire,False
gbor,False
goston,False
bruce,False
alan,False
master,False
infobase,False
publishing,False
a,True
modern,False
history,False
of,True
the,True
kurd,False
david,False
mcdowall,False
ibtauris,False
politics,False
of,True
alliance,False
and,True
rivalry,False
on,True
the,True
ottomaniranian,False
frontier,False
the,True
babans,False
metin,False
atmaca,False
selfpublishing,False
freiburg,False
im,False
breisgau,False
external,False
links,False
baban,False
by,True
sh,False
longrigg,False
the,True
encyclopaedia,False
of,True
islam,False
baban,False
by,True
w,False
behn,False
encyclopdia,False
iranica,False
a,True
brief,False
history,False
of,True
the,True
kurd,False
and,True
kurdistan,False
history,False
of,True
baban,False
dynasty,False
in,True
kurdish,False
notable,False
chapter,False
ii,False
by,True
mir,False
basri,False
translated,False
by,True
abdolkhliq,False
bahaddin,False
sulaimania,False
in,True
kurdish,False
category,False
kurdish,False
dynasty,False
category,False
sunni,False
dynasty,False
category1649,False
establishment,False
in,True
asia,False
category1850,False
disestablishment,False
category,False
former,False
country,False
in,True
the,True
middle,False
east,False
category,False
history,False
of,True
the,True
kurdish,False
people,False
category,False
history,False
of,True
iraqi,False
kurdistan,False
category,False
early,False
modern,False
history,False
of,True
iran,False
the,True
mankessim,False
kingdom,False
wa,False
a,True
precolonial,False
african,False
state,False
in,True
modernday,False
ghana,False
it,True
is,True
regarded,False
a,True
the,True
heartland,False
of,True
the,True
fante,False
people,False
and,True
operated,False
a,True
capital,False
of,True
the,True
fante,False
confederacy,False
in,True
the,True
century,False
the,True
town,False
of,True
mankessim,False
still,False
exists,False
and,True
is,True
located,False
in,True
the,True
central,False
region,False
of,True
ghana,False
about,True
an,True
hour,False
and,True
a,True
half,False
west,False
of,True
accra,False
the,True
mankessim,False
kingdom,False
s,True
influence,False
included,False
not,True
only,True
their,True
own,True
kingdom,False
but,True
extended,False
to,True
the,True
whole,False
of,True
the,True
fante,False
people,False
and,True
at,True
time,False
the,True
entire,False
coast,False
of,True
modernday,False
ghana,False
origin,False
the,True
fante,False
people,False
claim,False
to,True
have,True
separated,False
from,True
the,True
bono,False
people,False
around,False
ad,False
this,True
act,False
became,False
the,True
origin,False
of,True
their,True
name,False
faatsew,False
meaning,False
the,True
half,False
that,True
left,False
the,True
fante,False
left,False
their,True
bono,False
brother,False
at,True
krako,False
present,False
day,False
techiman,False
in,True
the,True
brongahafo,False
region,False
of,True
ghana,False
and,True
became,False
their,True
own,True
distinct,False
akan,False
group,False
the,True
fante,False
people,False
were,True
led,False
by,True
three,False
great,False
warrior,False
known,False
a,True
obrumankoma,False
odapagya,False
and,True
oson,False
the,True
whale,False
the,True
eagle,False
and,True
the,True
elephant,False
respectively,False
according,False
to,True
tradition,False
obrumankoma,False
and,True
odapagya,False
died,False
on,True
this,True
emigration,False
and,True
were,True
embalming,False
and,True
carried,False
the,True
rest,False
of,True
the,True
way,False
oson,False
led,False
the,True
people,False
to,True
what,True
would,False
become,False
mankessim,False
in,True
legend,False
ha,False
it,True
that,True
the,True
fante,False
s,True
chief,False
fetishism,False
priest,False
komfo,False
amona,False
planted,False
a,True
spear,False
in,True
the,True
ground,False
when,True
they,True
reached,False
the,True
location,False
of,True
the,True
settlement,False
the,True
spear,False
is,True
called,False
the,True
akyinenyim,False
meaning,False
in,True
front,False
of,True
god,False
the,True
place,False
became,False
the,True
meeting,False
place,False
for,True
the,True
fante,False
elder,False
administrative,False
title,False
and,True
the,True
head,False
fetish,False
priest,False
when,True
discussing,False
important,False
matter,False
the,True
first,False
omanhene,False
king,False
of,True
mankessim,False
wa,False
installed,False
here,True
and,True
later,False
kingmaker,False
would,False
visit,False
the,True
site,False
for,True
consultation,False
according,False
to,True
the,True
fante,False
the,True
spear,False
can,True
not,True
be,True
removed,False
by,True
human,False
hand,False
the,True
land,False
the,True
fante,False
reached,False
wa,False
initially,False
called,False
adoakyir,False
by,True
it,True
existing,False
inhabitant,False
which,True
the,True
fante,False
called,False
etsifueyifo,False
meaning,False
people,False
with,True
bushy,False
hair,False
the,True
fante,False
conquered,False
these,True
people,False
and,True
renamed,False
the,True
settlement,False
omankesemu,False
meaning,False
large,False
town,False
the,True
name,False
ha,False
evolved,False
into,True
the,True
current,False
name,False
mankessim,False
the,True
fante,False
settled,False
the,True
land,False
a,True
their,True
first,False
independent,False
monarchy,False
and,True
buried,False
obrumakankoma,False
and,True
odapagya,False
in,True
a,True
sacred,False
grove,False
called,False
nananompow,False
komfo,False
amona,False
also,False
planted,False
the,True
limb,False
of,True
a,True
tree,False
he,True
had,True
brought,False
from,True
the,True
akan,False
homeland,False
in,True
krako,False
to,True
see,False
if,True
a,True
place,False
wa,False
good,False
for,True
settlement,False
the,True
day,False
after,True
the,True
priest,False
planted,False
the,True
limb,False
the,True
people,False
found,False
a,True
tree,False
starting,False
to,True
grow,False
the,True
tree,False
wa,False
named,False
ebisadua,False
or,True
the,True
consulting,False
tree,False
and,True
it,True
location,False
is,True
today,False
one,False
of,True
the,True
most,True
important,False
shrine,False
in,True
mankessim,False
organization,False
the,True
fante,False
quickly,False
organized,False
themselves,True
into,True
military,False
group,False
or,True
company,False
called,False
asafo,False
to,True
defend,False
themselves,True
from,True
nonakan,False
group,False
in,True
the,True
vicinity,False
a,True
well,False
a,True
separate,False
akan,False
group,False
most,True
notably,False
the,True
ashanti,False
in,True
later,False
century,False
tradition,False
ha,False
it,True
that,True
the,True
fante,False
subgroups,False
ekumfi,False
abora,False
enyan,False
nkusukum,False
and,True
kurentsir,False
were,True
the,True
first,False
to,True
settle,False
mankessim,False
they,True
were,True
later,False
joined,False
by,True
the,True
gomoa,False
ajumako,False
akatakyi,False
and,True
the,True
edina,False
the,True
ashanti,False
threat,False
in,True
the,True
early,False
century,False
the,True
ashanti,False
began,False
expanding,False
their,True
control,False
over,True
ghana,False
sending,False
many,False
people,False
fleeing,False
to,True
the,True
coast,False
fante,False
community,False
outside,False
of,True
mankessim,False
became,False
target,False
of,True
the,True
ashanti,False
and,True
decided,False
to,True
unite,False
in,True
defense,False
in,True
the,True
first,False
ashantifante,False
war,False
resulted,False
in,True
a,True
humiliating,False
defeat,False
for,True
the,True
fante,False
in,True
the,True
fante,False
again,True
went,False
to,True
war,False
with,True
the,True
ashanti,False
again,True
losing,False
in,True
open,False
battle,False
but,True
forcing,False
a,True
withdrawal,False
by,True
using,False
guerrilla,False
tactic,False
in,True
the,True
fante,False
put,False
themselves,True
under,True
british,False
empire,False
protection,False
but,True
were,True
guaranteed,False
selfgovernance,False
however,False
the,True
british,False
and,True
the,True
dutch,False
empire,False
on,True
the,True
coast,False
did,True
little,False
to,True
recognize,False
fante,False
sovereignty,False
the,True
fante,False
confederacy,False
finally,False
in,True
the,True
fante,False
formed,False
a,True
confederacy,False
of,True
their,True
own,True
with,True
british,False
backing,False
to,True
guard,False
against,True
further,True
ashanti,False
aggression,False
the,True
fante,False
met,False
in,True
mankessim,False
and,True
elected,False
the,True
kingdom,False
s,True
omanhene,False
a,True
brenyi,False
over,True
the,True
fante,False
confederacy,False
in,True
the,True
seven,False
fante,False
kingdom,False
and,True
chiefdoms,False
signed,False
the,True
constitution,False
of,True
mankessim,False
formalizing,False
their,True
alliance,False
omanhene,False
kwesi,False
edu,False
led,False
the,True
confederacy,False
for,True
the,True
whole,False
of,True
it,True
short,False
existence,False
acquiring,False
the,True
land,False
of,True
neighboring,False
asebo,False
cabesterra,False
and,True
agona,False
kingdom,False
the,True
confederacy,False
wa,False
also,False
successful,False
in,True
it,True
resistance,False
to,True
the,True
ashanti,False
playing,False
their,True
archenemy,False
off,True
against,True
their,True
powerful,False
british,False
supporter,False
mankessim,False
through,True
the,True
confederacy,False
monopolized,False
trade,False
on,True
the,True
coast,False
and,True
became,False
an,True
important,False
economy,False
force,False
decline,False
the,True
early,False
success,False
of,True
the,True
confederacy,False
were,True
shortlived,False
and,True
a,True
protracted,False
war,False
with,True
the,True
dutch,False
backer,False
of,True
the,True
ashanti,False
confederacy,False
left,False
them,True
in,True
ruin,False
in,True
the,True
british,False
proclaimed,False
the,True
entire,False
coast,False
of,True
ghana,False
then,True
known,False
a,True
the,True
gold,False
coast,False
region,False
a,True
gold,False
coast,False
british,False
colony,False
the,True
fante,False
dissolved,False
their,True
confederacy,False
that,True
same,True
year,False
in,True
return,False
for,True
money,False
gun,False
and,True
a,True
license,False
to,True
make,False
war,False
on,True
any,True
invading,False
ashanti,False
on,True
